Entité;Localisation de la station;Coordonnées;Paramètres mesurés;Source;Unité de mesure;Mesure;Dernière mise à jour;Commune;EPCI;Département;Région
Mayenne;France - Mayenne - FR23177;47.787712,-0.44404444;NO2;EEA France;µg/m³;2.0;2020-04-28T20:00:00+02:00;Saint-Denis-d'Anjou;CC du Pays de Château-Gontier;MAYENNE;PAYS DE LA LOIRE
Eure;France - Eure - FR25039;49.02132,1.1483164;PM10;EEA France;µg/m³;1.8;2020-04-28T20:00:00+02:00;Évreux;CA Evreux Portes de Normandie;EURE;NORMANDIE
Isère;France - Isère - FR27007;45.60824,5.270874;O3;EEA France;µg/m³;78.9;2020-04-28T19:00:00+02:00;Bourgoin-Jallieu;CA Porte de l'Isère (C.A.P.I);ISERE;AUVERGNE-RHONE-ALPES
Isère;France - Isère - FR27010;45.46087,5.1810784;O3;EEA France;µg/m³;73.4;2020-04-28T19:00:00+02:00;Lieudieu;CC Bièvre Isère;ISERE;AUVERGNE-RHONE-ALPES
Saône-et-Loire;France - Saône-et-Loire - FR32007;46.802216,4.4175014;PM2.5;EEA France;µg/m³;5.5;2020-04-28T17:00:00+02:00;Le Creusot;CU Le Creusot Montceau-les-Mines;SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE
Haute-Savoie;France - Haute-Savoie - FR33203;45.9097,6.1182456;NO2;EEA France;µg/m³;5.5;2020-04-28T19:00:00+02:00;Annecy;CA du Grand Annecy;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - Lyon POriphOrique;45.774837,4.8985763;CO;EEA France;µg/m³;215.0;2017-05-25T12:00:00+02:00;Villeurbanne;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - MARMANDE;44.508667,0.14250335;PM2.5;EEA France;µg/m³;3.75;2017-05-25T12:00:00+02:00;Marmande;CA Val de Garonne Agglomération;LOT-ET-GARONNE;NOUVELLE-AQUITAINE
AIR PACA;France - AIR PACA - Martigues La Gatasse;43.36112,5.0583324;SO2;EEA France;µg/m³;0.25;2017-03-28T18:00:00+02:00;Martigues;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
AIR RHONE ALPES;France - AIR RHONE ALPES - NOVEL;45.916946,6.135556;NO2;EEA France;µg/m³;2.93;2017-07-17T20:00:00+02:00;Annecy;CA du Grand Annecy;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
ATMO HAUTS DE FRANCE;France - ATMO HAUTS DE FRANCE - Outreau;50.69432,1.5765703;CO;EEA France;µg/m³;145.0;2017-01-25T02:00:00+01:00;Outreau;CA du Boulonnais;PAS-DE-CALAIS;HAUTS-DE-FRANCE
ORA;France - ORA - Plateau Caillou;-21.009739,55.27271;O3;EEA France;µg/m³;62.53;2017-07-17T11:00:00+02:00;Saint-Paul;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
AIR PACA;France - AIR PACA - AIX CENTRE ECOLE ART;43.530296,5.4413834;NO2;EEA France;µg/m³;34.0;2017-07-18T22:00:00+02:00;Aix-en-Provence;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
AIR LANGUEDOC-ROUSSILLON;France - AIR LANGUEDOC-ROUSSILLON - Agathois-piscOnois;43.287727,3.504831;O3;EEA France;µg/m³;98.13;2017-05-03T23:00:00+02:00;Agde;CA Hérault-Méditerranée;HERAULT;OCCITANIE
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - BASSENS;44.900303,-0.5147221;O3;EEA France;µg/m³;127.0;2017-07-18T22:00:00+02:00;Bassens;Bordeaux Métropole;GIRONDE;NOUVELLE-AQUITAINE
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - BORDEAUX-GAMBETTA;44.841415,-0.5797224;NO2;EEA France;µg/m³;24.0;2017-05-25T12:00:00+02:00;Bordeaux;Bordeaux Métropole;GIRONDE;NOUVELLE-AQUITAINE
ATMO FRANCHE COMTE;France - ATMO FRANCHE COMTE - Belfort centre;47.63073,6.8590326;O3;EEA France;µg/m³;81.15;2017-05-25T12:00:00+02:00;Belfort;CA Grand Belfort;TERRITOIRE DE BELFORT;BOURGOGNE-FRANCHE-COMTE
AIR BREIZH;France - AIR BREIZH - Brest Mace;48.3864,-4.4868155;O3;EEA France;µg/m³;17.75;2017-05-17T13:00:00+02:00;Brest;Brest Métropole;FINISTERE;BRETAGNE
AIR PAYS DE LA LOIRE;France - AIR PAYS DE LA LOIRE - CIM BOUTEILLERIE;47.222515,-1.5375025;NO2;EEA France;µg/m³;11.9;2017-07-18T22:00:00+02:00;Nantes;Nantes Métropole;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE
ATMO NORD-PAS-DE-CALAIS;France - ATMO NORD-PAS-DE-CALAIS - Calais Parmentier;50.957787,1.8900824;CO;EEA France;µg/m³;12.5;2017-05-02T16:00:00+02:00;Calais;CA du Calaisis;PAS-DE-CALAIS;HAUTS-DE-FRANCE
Moselle;France - Moselle - FR01012;49.110256,6.2233396;NO2;EEA France;µg/m³;4.5;2020-04-28T19:00:00+02:00;Metz;Metz Métropole;MOSELLE;GRAND EST
Moselle;France - Moselle - FR01020;49.358315,6.156945;PM2.5;EEA France;µg/m³;4.2;2020-04-28T19:00:00+02:00;Thionville;CA Portes de France-Thionville;MOSELLE;GRAND EST
Val-de-Marne;France - Val-de-Marne - FR04034;48.775772,2.3758013;PM2.5;EEA France;µg/m³;3.4;2020-04-28T19:00:00+02:00;Vitry-sur-Seine;Métropole du Grand Paris;VAL-DE-MARNE;ILE-DE-FRANCE
Yvelines;France - Yvelines - FR04181;48.633728,1.830533;PM2.5;EEA France;µg/m³;1.7;2020-04-28T19:00:00+02:00;Rambouillet;CA Rambouillet Territoires;YVELINES;ILE-DE-FRANCE
Seine-Maritime;France - Seine-Maritime - FR05090;49.514694,0.100645445;NO2;EEA France;µg/m³;4.0;2020-04-28T20:00:00+02:00;Le Havre;CU Le Havre Seine Métropole;SEINE-MARITIME;NORMANDIE
Seine-Maritime;France - Seine-Maritime - FR05090;49.514694,0.100645445;PM10;EEA France;µg/m³;6.7;2020-04-28T20:00:00+02:00;Le Havre;CU Le Havre Seine Métropole;SEINE-MARITIME;NORMANDIE
Nord;France - Nord - FR06011;50.322754,3.3959281;NO2;EEA France;µg/m³;12.4;2020-04-28T19:00:00+02:00;Denain;CA de la Porte du Hainaut;NORD;HAUTS-DE-FRANCE
Charente;France - Charente - FR09017;45.694706,-0.32336116;NO2;EEA France;µg/m³;11.9;2019-06-03T10:00:00+02:00;Cognac;CA du Grand Cognac;CHARENTE;NOUVELLE-AQUITAINE
Charente;France - Charente - FR09103;45.647438,0.16716659;NO2;EEA France;µg/m³;2.9;2020-04-28T19:00:00+02:00;Angoulême;CA du Grand Angoulême;CHARENTE;NOUVELLE-AQUITAINE
Deux-Sèvres;France - Deux-Sèvres - FR09302;46.143158,-0.39604205;PM2.5;EEA France;µg/m³;2.8;2020-04-28T19:00:00+02:00;Villiers-en-Bois;CC Mellois-en-Poitou;DEUX-SEVRES;NOUVELLE-AQUITAINE
Nord;France - Nord - FR10029;50.995907,2.365994;SO2;EEA France;µg/m³;2.4;2020-04-28T19:00:00+02:00;Cappelle-la-Grande;CU de Dunkerque;NORD;HAUTS-DE-FRANCE
Pas-de-Calais;France - Pas-de-Calais - FR10132;50.610485,1.9914482;PM10;EEA France;µg/m³;9.7;2020-04-28T19:00:00+02:00;Campagne-lès-Boulonnais;CC du Haut Pays du Montreuillois;PAS-DE-CALAIS;HAUTS-DE-FRANCE
Nord;France - Nord - FR11026;50.775455,3.125679;O3;EEA France;µg/m³;67.3;2020-04-28T19:00:00+02:00;Halluin;Métropole Européenne de Lille;NORD;HAUTS-DE-FRANCE
Haute-Garonne;France - Haute-Garonne - FR12030;43.587193,1.4438891;SO2;EEA France;µg/m³;0.85;2018-07-06T21:00:00+02:00;Toulouse;Toulouse Métropole;HAUTE-GARONNE;OCCITANIE
Marne;France - Marne - FR14011;49.250713,4.0230603;PM10;EEA France;µg/m³;24.1;2020-04-28T18:00:00+02:00;Reims;CU du Grand Reims;MARNE;GRAND EST
Marne;France - Marne - FR14022;48.9622,4.36;NO2;EEA France;µg/m³;3.1;2020-04-28T19:00:00+02:00;Châlons-en-Champagne;CA de Châlons-en-Champagne;MARNE;GRAND EST
Aube;France - Aube - FR14032;48.299164,4.1172214;O3;EEA France;µg/m³;56.9;2020-04-27T10:00:00+02:00;Saint-Parres-aux-Tertres;CA Troyes Champagne Métropole;AUBE;GRAND EST
AIR PAYS DE LOIRE;France - AIR PAYS DE LOIRE - APPENTIS;47.447403,-0.5500672;O3;EEA France;µg/m³;141.95;2017-07-18T22:00:00+02:00;Angers;CU Angers Loire Métropole;MAINE-ET-LOIRE;PAYS DE LA LOIRE
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - BASSENS;44.900303,-0.5147221;O3;EEA France;µg/m³;76.25;2017-05-25T12:00:00+02:00;Bassens;Bordeaux Métropole;GIRONDE;NOUVELLE-AQUITAINE
QUALITAIR CORSE;France - QUALITAIR CORSE - BASTIA SAINT NICOLAS;42.70007,9.451804;PM10;EEA France;µg/m³;16.93;2017-07-17T19:00:00+02:00;Bastia;CA de Bastia;HAUTE-CORSE;CORSE
AIRPARIF;France - AIRPARIF - BOBIGNY;48.902477,2.4524996;PM10;EEA France;µg/m³;20.15;2017-07-18T20:00:00+02:00;Bobigny;Métropole du Grand Paris;SEINE-SAINT-DENIS;ILE-DE-FRANCE
AIR PAYS DE LA LOIRE;France - AIR PAYS DE LA LOIRE - CIM BOUTEILLERIE;47.222515,-1.5375025;O3;EEA France;µg/m³;83.9;2017-05-25T12:00:00+02:00;Nantes;Nantes Métropole;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE
AIR C.O.M. (CALVADOS, ORNE, MANCHE);France - AIR C.O.M. (CALVADOS, ORNE, MANCHE) - Caen Vaucelles;49.17525,-0.35361102;NO2;EEA France;µg/m³;15.15;2017-05-25T12:00:00+02:00;Caen;CU Caen la Mer;CALVADOS;NORMANDIE
ATMO CHAMPAGNE-ARDENNE;France - ATMO CHAMPAGNE-ARDENNE - DOUMER;49.250713,4.0230603;NO2;EEA France;µg/m³;18.85;2017-05-25T12:00:00+02:00;Reims;CU du Grand Reims;MARNE;GRAND EST
Bouches-du-Rhône;France - Bouches-du-Rhône - FR02041;43.638966,5.0999966;NO2;EEA France;µg/m³;5.1;2020-04-28T20:00:00+02:00;Salon-de-Provence;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
Bouches-du-Rhône;France - Bouches-du-Rhône - FR03004;43.315273,5.387528;NO2;EEA France;µg/m³;106.5;2017-12-07T17:00:00+01:00;Marseille;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
Var;France - Var - FR03068;43.126785,5.921937;PM10;EEA France;µg/m³;18.7;2020-04-28T19:00:00+02:00;Toulon;Métropole Toulon-Provence-Méditerranée;VAR;PROVENCE-ALPES-COTE D'AZUR
Var;France - Var - FR03071;43.131046,5.924237;PM2.5;EEA France;µg/m³;5.5;2020-04-28T20:00:00+02:00;Toulon;Métropole Toulon-Provence-Méditerranée;VAR;PROVENCE-ALPES-COTE D'AZUR
Saône-et-Loire;France - Saône-et-Loire - FR32005;46.66664,4.366666;PM10;EEA France;µg/m³;7.3;2020-04-28T18:00:00+02:00;Montceau-les-Mines;CU Le Creusot Montceau-les-Mines;SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE
Haute-Savoie;France - Haute-Savoie - FR33202;45.916946,6.135556;PM10;EEA France;µg/m³;7.3;2020-04-28T19:00:00+02:00;Annecy;CA du Grand Annecy;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
Eure-et-Loir;France - Eure-et-Loir - FR34046;48.73141,1.3638852;NO2;EEA France;µg/m³;3.7;2020-04-28T20:00:00+02:00;Dreux;CA du Pays de Dreux;EURE-ET-LOIR;CENTRE-VAL DE LOIRE
Indre;France - Indre - FR34056;46.864532,1.7719538;O3;EEA France;µg/m³;70.7;2020-04-28T20:00:00+02:00;Montierchaume;CA Châteauroux Métropole;INDRE;CENTRE-VAL DE LOIRE
Haute-Vienne;France - Haute-Vienne - FR35010;45.83333,1.216804;PM10;EEA France;µg/m³;1.3;2020-04-28T18:00:00+02:00;Limoges;CU Limoges Métropole;HAUTE-VIENNE;NOUVELLE-AQUITAINE
Guadeloupe;France - Guadeloupe - FR37001;16.256104,-61.590294;PM10;EEA France;µg/m³;11.7;2020-04-28T19:00:00+02:00;Baie-Mahault;CA Cap Excellence;GUADELOUPE;GUADELOUPE
Charente;France - Charente - FR09103;45.647438,0.16716659;O3;EEA France;µg/m³;79.0;2020-04-28T19:00:00+02:00;Angoulême;CA du Grand Angoulême;CHARENTE;NOUVELLE-AQUITAINE
Nord;France - Nord - FR10012;51.01942,2.2509894;PM10;EEA France;µg/m³;19.8;2020-04-28T19:00:00+02:00;Dunkerque;CU de Dunkerque;NORD;HAUTS-DE-FRANCE
Ardennes;France - Ardennes - FR14051;49.745285,4.7191644;NO2;EEA France;µg/m³;7.4;2020-04-28T19:00:00+02:00;Charleville-Mézières;CA Ardenne Métropole;ARDENNES;GRAND EST
Isère;France - Isère - FR15017;45.190437,5.686964;O3;EEA France;µg/m³;0.75;2018-02-13T08:00:00+01:00;Fontaine;Métropole Grenoble-Alpes-Métropole;ISERE;AUVERGNE-RHONE-ALPES
Maine-et-Loire;France - Maine-et-Loire - FR23120;47.46854,-0.5560527;PM2.5;EEA France;µg/m³;3.2;2020-04-28T20:00:00+02:00;Angers;CU Angers Loire Métropole;MAINE-ET-LOIRE;PAYS DE LA LOIRE
AIR PAYS DE LA LOIRE;France - AIR PAYS DE LA LOIRE - S ETIENNE DE MONTLUC;47.283184,-1.7831649;NO2;EEA France;µg/m³;0.7;2017-03-28T18:00:00+02:00;Saint-Étienne-de-Montluc;CC Estuaire et Sillon;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE
LIMAIR;France - LIMAIR - SAILLAT - Ipaper;45.87581,0.82388896;SO2;EEA France;µg/m³;0.0;2017-07-18T22:00:00+02:00;Saillat-sur-Vienne;CC Porte Océane du Limousin;HAUTE-VIENNE;NOUVELLE-AQUITAINE
ATMO HAUTS DE FRANCE;France - ATMO HAUTS DE FRANCE - Saint Amand;50.456486,3.4279442;O3;EEA France;µg/m³;135.85;2017-07-18T22:00:00+02:00;Saint-Amand-les-Eaux;CA de la Porte du Hainaut;NORD;HAUTS-DE-FRANCE
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - Saint Bauzile CEC;44.67595,4.673584;SO2;EEA France;µg/m³;3.0;2017-05-25T12:00:00+02:00;Saint-Bauzile;CC Ardèche Rhône Coiron;ARDECHE;AUVERGNE-RHONE-ALPES
AIR RHONE ALPES;France - AIR RHONE ALPES - St Germain/RhOne;46.07222,5.8208313;O3;EEA France;µg/m³;111.18;2017-07-17T20:00:00+02:00;Saint-Germain-sur-Rhône;CC Usses et Rhône;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
ATMOSF'AIR BOURGOGNE;France - ATMOSF'AIR BOURGOGNE - Station TARNIER;47.304142,5.0200014;O3;EEA France;µg/m³;90.48;2017-05-25T12:00:00+02:00;Dijon;Dijon Métropole;COTE-D'OR;BOURGOGNE-FRANCHE-COMTE
ATMO GRAND EST;France - ATMO GRAND EST - Thionville-Piscine;49.36861,6.160835;PM10;EEA France;µg/m³;17.4;2017-05-25T12:00:00+02:00;Thionville;CA Portes de France-Thionville;MOSELLE;GRAND EST
AIR RHONE ALPES;France - AIR RHONE ALPES - VENISSIEUX Village;45.703617,4.883601;SO2;EEA France;µg/m³;1.03;2017-07-17T20:00:00+02:00;Vénissieux;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
GWAD'AIR;France - GWAD'AIR - Vieux Bourg-ABYMES;16.25067,-61.52795;PM10;EEA France;µg/m³;22.15;2017-07-18T00:00:00+02:00;Les Abymes;CA Cap Excellence;GUADELOUPE;GUADELOUPE
AIRPARIF;France - AIRPARIF - Zone Rurale SO;48.581936,1.883336;NO2;EEA France;µg/m³;8.0;2017-07-18T22:00:00+02:00;Sonchamp;CA Rambouillet Territoires;YVELINES;ILE-DE-FRANCE
Reunion;France - Reunion - FR38020;-21.009739,55.27271;PM10;EEA France;µg/m³;18.2;2020-04-28T17:00:00+02:00;Saint-Paul;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
Territoire de Belfort;France - Territoire de Belfort - FR82020;47.64066,6.859275;PM10;EEA France;µg/m³;6.3;2020-04-28T18:00:00+02:00;Belfort;CA Grand Belfort;TERRITOIRE DE BELFORT;BOURGOGNE-FRANCHE-COMTE
ATMO OCCITANIE;France - ATMO OCCITANIE - Gard Rhodanien1;43.829144,4.6429515;NO2;EEA France;µg/m³;5.68;2017-05-04T00:00:00+02:00;Tarascon;CA d'Arles-Crau-Camargue-Montagnette;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - LA NOUAILLE - MERA;45.80998,2.0599988;O3;EEA France;µg/m³;114.85;2017-07-18T22:00:00+02:00;La Nouaille;CC Creuse Grand Sud;CREUSE;NOUVELLE-AQUITAINE
AIR RHONE ALPES;France - AIR RHONE ALPES - LOVERCHY;45.895256,6.1183357;O3;EEA France;µg/m³;121.05;2017-07-17T20:00:00+02:00;Annecy;CA du Grand Annecy;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
AIR NORMAND;France - AIR NORMAND - Le Havre Massillon;49.498302,0.14270636;NO2;EEA France;µg/m³;10.73;2017-07-18T22:00:00+02:00;Le Havre;CU Le Havre Seine Métropole;SEINE-MARITIME;NORMANDIE
ATMO OCCITANIE;France - ATMO OCCITANIE - LycOe Dupuy O Tarbes;43.23029,0.06222199;SO2;EEA France;µg/m³;0.0;2017-07-17T09:00:00+02:00;Tarbes;CA Tarbes-Lourdes-Pyrénées;HAUTES-PYRENEES;OCCITANIE
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - Lyon POriphOrique;45.774837,4.8985763;PM10;EEA France;µg/m³;19.18;2017-07-17T20:00:00+02:00;Villeurbanne;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - MASLACQ;43.434155,-0.6919444;SO2;EEA France;µg/m³;28.0;2017-05-25T12:00:00+02:00;Maslacq;CC de Lacq-Orthez;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE
AIR NORMAND;France - AIR NORMAND - Maison Parc Brotonne;49.498302,0.758833;O3;EEA France;µg/m³;132.18;2017-07-18T22:00:00+02:00;Notre-Dame-de-Bliquetuit;CA Caux Seine Agglo;SEINE-MARITIME;NORMANDIE
ATMO HAUTS DE FRANCE;France - ATMO HAUTS DE FRANCE - Marcq CTM;50.670017,3.076559;NO2;EEA France;µg/m³;23.25;2017-07-18T22:00:00+02:00;Marcq-en-Barœul;Métropole Européenne de Lille;NORD;HAUTS-DE-FRANCE
AIRPARIF;France - AIRPARIF - NEUILLY-SUR-SEINE;48.881393,2.2780557;O3;EEA France;µg/m³;98.25;2017-07-18T22:00:00+02:00;Neuilly-sur-Seine;Métropole du Grand Paris;HAUTS-DE-SEINE;ILE-DE-FRANCE
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - PASTEUR;45.564735,5.928333;PM2.5;EEA France;µg/m³;5.3;2017-05-25T12:00:00+02:00;Chambéry;CA du Grand Chambéry;SAVOIE;AUVERGNE-RHONE-ALPES
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - PASTEUR;45.564735,5.928333;PM10;EEA France;µg/m³;18.63;2017-05-25T12:00:00+02:00;Chambéry;CA du Grand Chambéry;SAVOIE;AUVERGNE-RHONE-ALPES
AIRPARIF;France - AIRPARIF - Place de l'OpOra;48.870285,2.3325026;NO2;EEA France;µg/m³;161.75;2017-07-18T21:00:00+02:00;Paris;Métropole du Grand Paris;PARIS;ILE-DE-FRANCE
QUALITAIR CORSE;France - QUALITAIR CORSE - AJACCIO SPOSATA;41.94925,8.757586;O3;EEA France;µg/m³;102.3;2017-07-17T20:00:00+02:00;Ajaccio;CA du Pays Ajaccien;CORSE-DU-SUD;CORSE
AIR C.O.M. (CALVADOS, ORNE, MANCHE);France - AIR C.O.M. (CALVADOS, ORNE, MANCHE) - Alençon Météo-France;48.44554,0.11083324;O3;EEA France;µg/m³;30.0;2016-12-05T18:00:00+01:00;Cerisé;CU d'Alençon;ORNE;NORMANDIE
ATMO BOURGOGNE-FRANCHE-COMTE;France - ATMO BOURGOGNE-FRANCHE-COMTE - Besancon Prevoyance;47.2474,6.0154157;O3;EEA France;µg/m³;94.1;2017-05-25T12:00:00+02:00;Besançon;CA du Grand Besançon;DOUBS;BOURGOGNE-FRANCHE-COMTE
AIRPARIF;France - AIRPARIF - Bld peripherique Est;48.838604,2.412785;PM10;EEA France;µg/m³;35.15;2017-07-18T20:00:00+02:00;Paris;Métropole du Grand Paris;PARIS;ILE-DE-FRANCE
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - CHAMBERY LE HAUT;45.596676,5.918613;PM10;EEA France;µg/m³;17.25;2017-07-17T20:00:00+02:00;Chambéry;CA du Grand Chambéry;SAVOIE;AUVERGNE-RHONE-ALPES
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - COGNAC;45.694706,-0.32336116;O3;EEA France;µg/m³;66.18;2017-05-25T12:00:00+02:00;Cognac;CA du Grand Cognac;CHARENTE;NOUVELLE-AQUITAINE
ATMO NORD-PAS-DE-CALAIS;France - ATMO NORD-PAS-DE-CALAIS - Calais Parmentier;50.957787,1.8900824;O3;EEA France;µg/m³;62.65;2017-05-25T12:00:00+02:00;Calais;CA du Calaisis;PAS-DE-CALAIS;HAUTS-DE-FRANCE
Moselle;France - Moselle - FR01020;49.358315,6.156945;O3;EEA France;µg/m³;80.9;2020-04-28T19:00:00+02:00;Thionville;CA Portes de France-Thionville;MOSELLE;GRAND EST
Moselle;France - Moselle - FR01060;49.168846,6.2126675;NO2;EEA France;µg/m³;6.3;2019-07-10T12:00:00+02:00;Malroy;CC Rives de Moselle;MOSELLE;GRAND EST
Moselle;France - Moselle - FR01064;49.125072,6.1812177;PM10;EEA France;µg/m³;2.7;2020-04-28T07:00:00+02:00;Metz;Metz Métropole;MOSELLE;GRAND EST
Bouches-du-Rhône;France - Bouches-du-Rhône - FR03030;43.45346,5.467102;PM2.5;EEA France;µg/m³;3.9;2020-04-28T19:00:00+02:00;Gardanne;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
Var;France - Var - FR03070;43.43781,6.7683926;O3;EEA France;µg/m³;76.1;2020-04-28T20:00:00+02:00;Fréjus;CA Var Esterel Méditerranée (Cavem);VAR;PROVENCE-ALPES-COTE D'AZUR
Val-de-Marne;France - Val-de-Marne - FR04146;48.8175,2.395;NO2;EEA France;µg/m³;72.0;2018-04-20T08:00:00+02:00;Ivry-sur-Seine;Métropole du Grand Paris;VAL-DE-MARNE;ILE-DE-FRANCE
Puy-de-Dôme;France - Puy-de-Dôme - FR07004;45.797264,3.1138303;O3;EEA France;µg/m³;80.9;2020-04-28T19:00:00+02:00;Clermont-Ferrand;Clermont Auvergne Métropole;PUY-DE-DOME;AUVERGNE-RHONE-ALPES
Allier;France - Allier - FR07022;46.652645,3.6006632;PM10;EEA France;µg/m³;9.9;2020-04-28T19:00:00+02:00;Paray-le-Frésil;CA Moulins Communauté;ALLIER;AUVERGNE-RHONE-ALPES
Yonne;France - Yonne - FR26016;48.200584,3.2772248;NO2;EEA France;µg/m³;3.7;2020-04-28T19:00:00+02:00;Sens;CA du Grand Sénonais;YONNE;BOURGOGNE-FRANCHE-COMTE
Lot-et-Garonne;France - Lot-et-Garonne - FR31040;44.508667,0.14250335;NO2;EEA France;µg/m³;7.0;2020-04-28T19:00:00+02:00;Marmande;CA Val de Garonne Agglomération;LOT-ET-GARONNE;NOUVELLE-AQUITAINE
Savoie;France - Savoie - FR33105;45.56945,5.9329863;PM10;EEA France;µg/m³;14.7;2020-03-02T11:00:00+01:00;Chambéry;CA du Grand Chambéry;SAVOIE;AUVERGNE-RHONE-ALPES
Indre-et-Loire;France - Indre-et-Loire - FR34028;47.394646,0.70487297;CO;EEA France;µg/m³;38.0;2020-04-28T20:00:00+02:00;Tours;Tours Métropole Val de Loire;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE
Haute-Vienne;France - Haute-Vienne - FR35002;45.890007,0.9000041;O3;EEA France;µg/m³;75.2;2020-04-28T19:00:00+02:00;Saint-Junien;CC Porte Océane du Limousin;HAUTE-VIENNE;NOUVELLE-AQUITAINE
Drôme;France - Drôme - FR36021;44.56943,5.278968;PM10;EEA France;µg/m³;14.5;2020-04-15T16:00:00+02:00;Saint-Nazaire-le-Désert;CC du Diois;DROME;AUVERGNE-RHONE-ALPES
Reunion;France - Reunion - FR38014;-21.312918,55.4742;PM10;EEA France;µg/m³;15.8;2020-04-28T17:00:00+02:00;Saint-Pierre;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
Gard;France - Gard - FR08209;43.942898,4.6796837;O3;EEA France;µg/m³;79.0;2020-04-28T19:00:00+02:00;Saze;CA du Grand Avignon (Coga);GARD;OCCITANIE
Gers;France - Gers - FR12020;43.630253,0.17972234;PM2.5;EEA France;µg/m³;1.7;2020-04-28T19:00:00+02:00;Peyrusse-Vieille;CC Artagnan de Fezensac;GERS;OCCITANIE
Haut-Rhin;France - Haut-Rhin - FR16065;47.72309,7.3416076;O3;EEA France;µg/m³;76.0;2020-04-28T19:00:00+02:00;Brunstatt-Didenheim;CA Mulhouse Alsace Agglomération;HAUT-RHIN;GRAND EST
Oise;France - Oise - FR18019;49.27639,2.4821708;PM10;EEA France;µg/m³;9.4;2020-04-21T07:00:00+02:00;Nogent-sur-Oise;CA Creil Sud Oise;OISE;HAUTS-DE-FRANCE
Rhône;France - Rhône - FR20046;45.77891,4.9246993;PM2.5;EEA France;µg/m³;4.0;2020-04-28T19:00:00+02:00;Vaulx-en-Velin;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
Calvados;France - Calvados - FR21060;49.11719,-0.16966571;PM2.5;EEA France;µg/m³;5.8;2020-04-28T18:00:00+02:00;Moult-Chicheboville;CC Val Ès Dunes;CALVADOS;NORMANDIE
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - ROCHES DE CONDRIEU;45.454506,4.766524;NO2;EEA France;µg/m³;4.4;2017-05-25T12:00:00+02:00;Les Roches-de-Condrieu;CC Entre Bièvre et Rhône;ISERE;AUVERGNE-RHONE-ALPES
ATMO NORD-PAS-DE-CALAIS;France - ATMO NORD-PAS-DE-CALAIS - Roubaix Serres;50.706554,3.180656;PM10;EEA France;µg/m³;24.0;2017-05-25T10:00:00+02:00;Roubaix;Métropole Européenne de Lille;NORD;HAUTS-DE-FRANCE
