Entité;Localisation de la station;Coordonnées;Paramètres mesurés;Source;Unité de mesure;Mesure;Dernière mise à jour;Commune;EPCI;Département;Région
Hautes-Alpes;France - Hautes-Alpes - FR15031;44.997005,6.469397;O3;EEA France;µg/m³;90.6;2020-04-28T16:00:00+02:00;Le Monêtier-les-Bains;CC du Briançonnais;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR
Bas-Rhin;France - Bas-Rhin - FR16302;48.49301,7.1298027;PM10;EEA France;µg/m³;4.4;2020-04-28T19:00:00+02:00;Grandfontaine;CC de la Vallée de la Bruche;BAS-RHIN;GRAND EST
ATMO OCCITANIE;France - ATMO OCCITANIE - POriurbaine Nord;43.695366,3.8008168;O3;EEA France;µg/m³;54.73;2017-05-04T00:00:00+02:00;Saint-Gély-du-Fesc;CC du Grand Pic Saint-Loup;HERAULT;OCCITANIE
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - Royat;45.764687,3.0471933;NO2;EEA France;µg/m³;3.98;2017-05-25T12:00:00+02:00;Royat;Clermont Auvergne Métropole;PUY-DE-DOME;AUVERGNE-RHONE-ALPES
ATMO CHAMPAGNE-ARDENNE;France - ATMO CHAMPAGNE-ARDENNE - STE SAVINE;48.29498,4.050279;PM10;EEA France;µg/m³;15.48;2017-04-13T18:00:00+02:00;Sainte-Savine;CA Troyes Champagne Métropole;AUBE;GRAND EST
ATMO CHAMPAGNE-ARDENNE;France - ATMO CHAMPAGNE-ARDENNE - STE SAVINE;48.29498,4.050279;PM10;EEA France;µg/m³;15.73;2017-05-27T11:00:00+02:00;Sainte-Savine;CA Troyes Champagne Métropole;AUBE;GRAND EST
AIR RHONE ALPES;France - AIR RHONE ALPES - St Germain/Rhône;46.07222,5.8208313;SO2;EEA France;µg/m³;0.0;2016-12-05T02:00:00+01:00;Saint-Germain-sur-Rhône;CC Usses et Rhône;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
ATMOSF'AIR BOURGOGNE;France - ATMOSF'AIR BOURGOGNE - Station NEVERS ISAT;46.996666,3.1708374;NO2;EEA France;µg/m³;1.95;2017-05-25T12:00:00+02:00;Nevers;CA de Nevers;NIEVRE;BOURGOGNE-FRANCHE-COMTE
ATMO GRAND EST;France - ATMO GRAND EST - Station de FORBACH;49.187405,6.9108653;NO2;EEA France;µg/m³;6.85;2017-07-18T22:00:00+02:00;Forbach;CA de Forbach Porte de France;MOSELLE;GRAND EST
ATMO POITOU-CHARENTES;France - ATMO POITOU-CHARENTES - place de VERDUN;46.16257,-1.1535985;NO2;EEA France;µg/m³;9.0;2017-05-25T12:00:00+02:00;La Rochelle;CA de la Rochelle;CHARENTE-MARITIME;NOUVELLE-AQUITAINE
ATMO BOURGOGNE-FRANCHE-COMTE;France - ATMO BOURGOGNE-FRANCHE-COMTE - Macon Paul Bert;46.3161,4.839997;PM10;EEA France;µg/m³;17.73;2017-07-17T20:00:00+02:00;Mâcon;CA Mâconnais Beaujolais Agglomération;SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE
ATMO GRAND EST;France - ATMO GRAND EST - Malroy;49.168846,6.2126675;NO2;EEA France;µg/m³;5.08;2017-05-25T12:00:00+02:00;Malroy;CC Rives de Moselle;MOSELLE;GRAND EST
AIR PACA;France - AIR PACA - Martigues l'Ile;43.405186,5.0514965;NO2;EEA France;µg/m³;18.0;2017-07-18T22:00:00+02:00;Martigues;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
ATMO HAUTS DE FRANCE;France - ATMO HAUTS DE FRANCE - Nogent sur Oise;49.27639,2.4821708;O3;EEA France;µg/m³;101.05;2017-07-18T22:00:00+02:00;Nogent-sur-Oise;CA Creil Sud Oise;OISE;HAUTS-DE-FRANCE
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - A7 SUD LYONNAIS;45.72005,4.818159;PM2.5;EEA France;µg/m³;13.6;2017-05-24T15:00:00+02:00;La Mulatière;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
ATMO OCCITANIE;France - ATMO OCCITANIE - BERTHELOT;43.587193,1.4438891;O3;EEA France;µg/m³;120.18;2017-07-17T20:00:00+02:00;Toulouse;Toulouse Métropole;HAUTE-GARONNE;OCCITANIE
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - BORDEAUX-GAMBETTA;44.841415,-0.5797224;NO2;EEA France;µg/m³;45.0;2017-07-18T22:00:00+02:00;Bordeaux;Bordeaux Métropole;GIRONDE;NOUVELLE-AQUITAINE
ASPA;France - ASPA - C.C.3 FrontiOres;47.59494,7.5681715;PM10;EEA France;µg/m³;19.53;2017-07-18T22:00:00+02:00;Village-Neuf;CA Saint-Louis Agglomération;HAUT-RHIN;GRAND EST
MADININAIR;France - MADININAIR - CDST;14.7549925,-61.178864;PM10;EEA France;µg/m³;31.0;2017-07-17T22:00:00+02:00;Saint-Pierre;CA du Pays Nord Martinique;MARTINIQUE;MARTINIQUE
ATMO HAUTS DE FRANCE;France - ATMO HAUTS DE FRANCE - Calais Berthelot;50.947315,1.8430824;SO2;EEA France;µg/m³;0.68;2017-06-20T17:00:00+02:00;Calais;CA du Calaisis;PAS-DE-CALAIS;HAUTS-DE-FRANCE
ATMO HAUTS DE FRANCE;France - ATMO HAUTS DE FRANCE - Calais Berthelot;50.947315,1.8430824;PM10;EEA France;µg/m³;33.75;2017-05-25T12:00:00+02:00;Calais;CA du Calaisis;PAS-DE-CALAIS;HAUTS-DE-FRANCE
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - Clermont-Esplanade Gare;45.775715,3.0962503;PM10;EEA France;µg/m³;24.8;2017-07-18T22:00:00+02:00;Clermont-Ferrand;Clermont Auvergne Métropole;PUY-DE-DOME;AUVERGNE-RHONE-ALPES
ATMO FRANCHE COMTE;France - ATMO FRANCHE COMTE - Damparis;47.06561,5.4150267;SO2;EEA France;µg/m³;6.9;2017-05-25T12:00:00+02:00;Damparis;CA du Grand Dole;JURA;BOURGOGNE-FRANCHE-COMTE
ATMO GRAND EST;France - ATMO GRAND EST - Ecole de Carling(9);49.165733,6.716883;PM10;EEA France;µg/m³;17.85;2017-07-18T22:00:00+02:00;Carling;CA Saint-Avold Synergie;MOSELLE;GRAND EST
Bouches-du-Rhône;France - Bouches-du-Rhône - FR03043;43.3061,5.3957934;NO2;EEA France;µg/m³;10.7;2020-04-28T20:00:00+02:00;Marseille;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
Paris;France - Paris - FR04143;48.858997,2.3509989;NO2;EEA France;µg/m³;33.2;2019-09-23T10:00:00+02:00;Paris;Métropole du Grand Paris;PARIS;ILE-DE-FRANCE
Puy-de-Dôme;France - Puy-de-Dôme - FR07001;45.764668,3.047194;O3;EEA France;µg/m³;68.18;2017-12-31T19:00:00+01:00;Royat;Clermont Auvergne Métropole;PUY-DE-DOME;AUVERGNE-RHONE-ALPES
Bouches-du-Rhône;France - Bouches-du-Rhône - FR08204;43.829144,4.6429515;NO2;EEA France;µg/m³;5.0;2019-07-04T12:00:00+02:00;Tarascon;CA d'Arles-Crau-Camargue-Montagnette;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
Nord;France - Nord - FR10029;50.995907,2.365994;PM2.5;EEA France;µg/m³;2.65;2017-12-31T19:00:00+01:00;Cappelle-la-Grande;CU de Dunkerque;NORD;HAUTS-DE-FRANCE
Marne;France - Marne - FR14010;49.282192,4.0511146;O3;EEA France;µg/m³;97.4;2020-04-28T19:00:00+02:00;Bétheny;CU du Grand Reims;MARNE;GRAND EST
Haut-Rhin;France - Haut-Rhin - FR16054;48.07463,7.3506713;SO2;EEA France;µg/m³;0.0;2019-09-12T10:00:00+02:00;Colmar;CA Colmar Agglomération;HAUT-RHIN;GRAND EST
Somme;France - Somme - FR18053;49.9025,2.3046;O3;EEA France;µg/m³;71.0;2020-04-28T19:00:00+02:00;Amiens;CA Amiens Métropole;SOMME;HAUTS-DE-FRANCE
Rhône;France - Rhône - FR20029;45.6639,4.8459;SO2;EEA France;µg/m³;8.3;2020-04-28T19:00:00+02:00;Feyzin;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
Moselle;France - Moselle - FR22011;49.15839,6.7316604;SO2;EEA France;µg/m³;3.4;2020-04-28T19:00:00+02:00;L'Hôpital;CA Saint-Avold Synergie;MOSELLE;GRAND EST
